,longitude,latitude,B2,B3,B4,B8,B11,B12,predpH1
120,140.07255053795296,40.29505496328628,580,907,759,2954,1860,1098,6.373532949822072
121,140.0721912118393,40.29505496328628,664,931,861,2898,2027,1246,6.322478781211231
122,140.07165222266883,40.29523462634311,548,890,705,2951,1795,1128,6.304883036437718
123,140.0766827882599,40.295414289399936,720,1026,915,3100,1924,1199,6.3305634017827925
124,140.0721912118393,40.29568378398517,588,860,705,2791,1960,1183,6.333786382054918
125,140.0586266510491,40.29577361551358,644,940,920,2563,2477,1796,6.355661068955321
126,140.0766827882599,40.29595327857041,650,964,827,2602,2006,1268,6.310318434695126
127,140.07228104336772,40.296043110098815,621,989,808,3075,2146,1350,6.276395724654499
128,140.05772833576498,40.295863447041995,567,839,824,2619,2361,1631,6.6062690123175125
129,140.05745884117974,40.29595327857041,836,1156,1268,3261,2516,1686,6.300612684219221
130,140.0767726197883,40.29622277315564,623,908,793,2634,2193,1420,6.383595077377713
131,140.07111323349835,40.29622277315564,624,1012,839,3210,1962,1220,6.3184549966090415
132,140.0704844127995,40.29622277315564,596,893,705,3183,1911,1161,6.296426628686382
133,140.07237087489614,40.29640243621247,596,853,806,2545,1918,1244,6.246082563129654
134,140.0593453032764,40.29694142538294,586,839,763,2423,2332,1533,6.320132403214782
135,140.05898597716273,40.29694142538294,501,768,559,3062,2144,1281,6.315673295307767
136,140.07156239114042,40.297031256911346,572,919,694,3206,1936,1209,6.315244877304399
137,140.07641329367468,40.297390583025,575,882,658,2980,1642,932,6.230983288437224
138,140.07192171725407,40.297480414553405,915,1172,1378,2350,2305,1655,6.273547219542948
139,140.0585368195207,40.297390583025,608,860,763,2466,2074,1202,6.290976128390675
140,140.07542514686213,40.29766007761023,573,866,659,3226,1735,1024,6.320535036960348
141,140.0721013803109,40.29766007761023,608,916,755,3020,1933,1178,6.363736085789
142,140.05880631410594,40.29757024608182,628,957,839,2588,2010,1183,6.310425626057492
143,140.07228104336772,40.29783974066706,579,850,683,2742,1783,1065,6.431130490141638
144,140.07012508668583,40.298199066780704,683,1032,1004,2761,2224,1448,6.2894939732920365
145,140.0765031252031,40.29828889830912,633,900,843,2684,2200,1509,6.280234011295266
146,140.0729098640666,40.29837872983753,604,976,794,3278,1965,1082,6.29243639241898
147,140.07012508668583,40.29846856136594,672,1007,938,2698,2231,1456,6.265920526232034
148,140.07326919018024,40.29855839289435,524,913,639,3537,1919,1029,6.368334693080684
149,140.06868778223125,40.29855839289435,661,955,955,2734,2122,1391,6.3412924085999185
150,140.07614379908944,40.29882788747959,516,739,568,2566,1538,973,6.321273035552276
151,140.07003525515742,40.29882788747959,576,863,702,2786,1983,1211,6.290364747420255
152,140.06931660293012,40.29909738206482,675,925,921,2432,2190,1460,6.327441639768437
153,140.0704844127995,40.29927704512165,646,934,904,2614,2128,1419,6.305684206847107
154,140.06940643445853,40.29927704512165,641,909,816,2652,2127,1389,6.35900939939691
155,140.07982689175432,40.29954653970688,574,942,683,3204,2049,1236,6.275851440943892
156,140.07713194590195,40.29954653970688,650,919,761,2879,2137,1289,6.267685112628933
157,140.07003525515742,40.29945670817847,651,948,879,2706,2174,1477,6.385978243945144
158,140.06976576057218,40.29972620276371,703,1001,1014,2645,2242,1535,6.71468235766806
159,140.0704844127995,40.300624518047826,712,1080,1128,2893,2404,1617,6.293074982000633
160,140.0759641360326,40.300624518047826,600,978,669,3433,1466,831,6.284009141658075
161,140.0704844127995,40.30080418110465,647,916,864,2666,2333,1508,6.658585554846778
162,140.0706640758563,40.30098384416147,744,1100,1062,2784,2465,1708,6.306166359539155
163,140.0708437389131,40.301343170275125,659,960,967,2583,2349,1595,6.284738085663211
164,140.07542514686213,40.301522833331944,632,959,665,3167,1746,1023,6.31384956792046
165,140.07578447297578,40.30170249638877,558,899,688,2868,1757,971,6.333937412011889
166,140.07093357044153,40.30170249638877,698,999,986,2676,2366,1558,5.943948343187245
167,140.03562977977563,40.319399307485924,415,728,374,4041,1243,660,6.305692683905039
168,140.03509079060518,40.31975863359957,557,875,630,3216,1395,793,6.295387531707495
169,140.08845071848188,40.33188588993519,543,944,561,3686,1709,940,6.30427940738349
170,140.08827105542505,40.3319757214636,570,918,552,3565,1791,969,6.317245734901602
171,140.08809139236823,40.33215538452042,575,958,642,3310,2177,1200,6.155466928033217
172,140.087821897783,40.33224521604883,464,929,458,5172,2330,1189,6.058286209668226
173,140.0909660012774,40.333233362861364,373,432,425,622,224,141,6.0502624828163745
174,140.09114566433422,40.33332319438978,398,474,469,720,224,141,5.886333397687335
175,140.09123549586263,40.333502857446604,417,487,529,902,258,159,5.951461385721916
176,140.09132532739105,40.33368252050342,412,500,537,952,710,457,6.318909584135002
177,140.0708437389131,40.27313607035377,681,946,943,2502,1360,933,6.63380598340661
178,140.0247601648378,40.273405564939004,768,1080,976,2978,1944,1244,6.367844783116484
179,140.02440083872415,40.273405564939004,781,1050,1050,2843,1964,1269,6.779344932734801
180,140.02395168108208,40.273675059524244,852,1124,1104,2921,1985,1335,6.302435449391986
181,140.0323958447528,40.27376489105265,628,926,715,2920,1634,960,6.503578932410004
182,140.0246703333094,40.27376489105265,774,1034,989,3028,1922,1257,6.296008994497966
183,140.07991672328274,40.27870562511531,689,988,960,2690,1987,1266,6.81139073746002
184,140.06581317332206,40.283017538479086,1034,1428,1804,2729,2939,2367,6.414128763562194
185,140.08611509874316,40.283646359177965,647,995,789,2952,1917,1163,6.369935715739398
186,140.08539644651586,40.28418534834844,667,959,858,2730,1935,1216,6.309994211132995
187,140.05683002048087,40.285802315859854,581,855,675,2831,1888,1163,6.218181355648158
188,140.06949626598694,40.28634130503033,659,899,888,2640,2253,1517,6.3494989022846235
189,140.07003525515742,40.28661079961556,590,819,818,2719,2012,1305,6.2614442357785665
190,140.06868778223125,40.28652096808715,615,866,767,2492,2330,1712,6.304774239549872
191,140.06967592904377,40.28670063114397,587,832,785,2664,2159,1361,6.317855132083707
192,140.06940643445853,40.286790462672386,583,830,702,2775,2065,1305,6.312721476439791
193,140.0692267714017,40.28697012572921,613,882,799,2654,2143,1364,6.309147208098614
194,140.06850811917442,40.28714978878603,537,851,599,3256,1804,1075,6.948465259190079
195,140.07030474974266,40.287239620314445,866,1262,1334,3067,2446,1710,6.334504652089596
196,140.06967592904377,40.287239620314445,636,926,842,2897,2461,1640,6.389451411450821
197,140.07003525515742,40.28732945184286,728,1056,1078,3053,3090,2181,7.012725137097992
198,140.06734030930505,40.28759894642809,852,1256,1180,3262,2739,1932,6.231176918668322
199,140.06958609751536,40.287688777956504,697,1012,912,2971,2930,2085,6.356187547717281
200,140.06743014083347,40.28777860948492,682,1014,916,2978,2906,2155,6.286426796334603
201,140.06886744528805,40.287958272541744,642,872,766,2553,2056,1350,6.4088008989415854
202,140.06751997236188,40.287958272541744,769,1034,1024,2922,2843,2053,6.368645197477334
203,140.06662165707777,40.287958272541744,760,1040,1052,2675,2453,1806,6.301403850880895
204,140.06662165707777,40.288227767126976,680,982,907,2799,2180,1361,6.562760682550702
205,140.08934903376598,40.288497261712216,722,1066,939,2903,2207,1317,6.140275679054426
206,140.0901575175217,40.288497261712216,731,980,956,2557,2227,1408,6.922656928405345
207,140.09042701210694,40.288497261712216,960,1278,1304,2990,2290,1477,6.364508072619703
208,140.08979819140805,40.288497261712216,588,937,764,3227,2044,1206,6.284431191152627
209,140.0669809831914,40.288497261712216,597,847,735,2595,2023,1234,6.358550162696996
210,140.06662165707777,40.28858709324062,630,934,750,2939,2047,1224,6.224523494912934
211,140.08889987612392,40.28885658782586,718,1023,967,3281,2190,1211,6.2857101529449935
212,140.0863845933284,40.28930574546792,659,1015,855,3388,1999,1088,6.646342620768891
213,140.08611509874316,40.28930574546792,678,1068,853,3467,2067,1200,6.313976036875158
214,140.08584560415792,40.28930574546792,668,956,801,2924,2158,1239,6.301554652671666
215,140.0856659411011,40.289395576996334,653,960,777,2880,2158,1239,6.27885477127414
216,140.08539644651586,40.28957524005315,625,943,752,3244,1822,1036,6.370994962396083
217,140.08512695193062,40.28975490310998,661,1004,846,3194,2015,1153,6.311884068911515
218,140.0849472888738,40.28984473463839,589,960,597,3901,2101,1145,6.305009726015388
219,140.06859795070284,40.291282039092984,562,870,664,3436,1808,1016,6.268370265510977
220,140.06563351026523,40.29146170214981,592,753,708,2062,2106,1450,6.305569196244832
221,140.06581317332206,40.29164136520663,555,753,675,2019,2227,1554,6.2490296207040785
222,140.08665408791362,40.292270185905515,652,980,886,2962,1872,1076,6.695322849417949
223,140.08665408791362,40.292719343547574,741,1140,1052,3588,2179,1206,6.257208610374015
224,140.06042328161735,40.29379732188852,597,861,766,2421,2029,1298,6.317729195438797
225,140.07569464144737,40.295593952456755,638,955,808,3074,1797,1069,6.251413512048509
226,140.07569464144737,40.295863447041995,626,943,779,2956,1941,1120,6.27102986046863
227,140.07479632616324,40.296043110098815,624,939,701,2776,1846,1111,6.370242149354198
228,140.0759641360326,40.29622277315564,651,926,830,2841,2055,1257,6.312804226243006
229,140.07470649463482,40.296312604684054,640,932,774,2579,1922,1143,6.227233087216253
230,140.07470649463482,40.296492267740874,622,883,768,2548,1866,1103,6.316369195872293
231,140.07614379908944,40.2966719307977,587,889,733,2730,1892,1166,6.2735833949815145
232,140.07461666310644,40.2966719307977,621,936,681,2831,1847,1086,6.3595558543624096
233,140.07533531533372,40.29685159385453,628,940,781,2640,1947,1180,6.309963827685098
234,140.0742573369928,40.29685159385453,583,848,640,3009,1706,1001,6.276353261156601
235,140.07937773411226,40.297031256911346,536,865,601,3429,1774,1039,6.250643352430964
236,140.07722177743037,40.29712108843976,606,898,772,2669,1909,1143,6.314852431567824
237,140.07632346214626,40.29712108843976,559,855,630,2766,1802,1049,6.315336038317316
238,140.0765031252031,40.29766007761023,615,883,719,2816,1746,999,6.331262808154212
239,140.07722177743037,40.297749909138645,601,920,797,2761,2139,1275,6.309568892589328
240,140.07560480991896,40.29792957219547,586,835,701,2823,1673,992,6.2354855243586655
241,140.0765031252031,40.29801940372388,568,855,696,2788,1880,1097,6.304295586502463
242,140.07758110354402,40.29810923525229,595,899,813,2621,2134,1399,6.377472570301509
243,140.07955739716908,40.298199066780704,601,938,803,2989,2004,1232,6.313418298199149
244,140.07560480991896,40.298199066780704,586,870,714,2767,1552,956,6.41158419600918
245,140.07856925035657,40.29828889830912,656,987,915,2943,2004,1166,6.346167475420951
246,140.07758110354402,40.29846856136594,524,828,557,3361,1776,1079,6.284653323819923
247,140.07955739716908,40.29855839289435,585,872,772,2700,2040,1291,6.295083665940851
248,140.07838958729974,40.29855839289435,579,922,674,3154,1780,1031,6.21472141481141
249,140.0774014404872,40.298738055951176,655,905,742,2774,1862,1118,6.274806485825745
250,140.07955739716908,40.298738055951176,624,888,786,2578,2339,1511,6.324934977211979
251,140.07829975577133,40.298917719008,549,828,679,2785,1844,1112,6.334440837554152
252,140.07722177743037,40.298917719008,606,947,736,3082,1929,1145,6.319999304372248
253,140.08045571245322,40.29900755053641,521,830,643,3024,1669,962,6.161870489366611
254,140.0768624513167,40.299187213593235,689,926,861,2812,2190,1428,6.305313219276319
255,140.0803658809248,40.29936687665006,538,828,592,3308,1455,805,6.289388596546098
256,140.0782099242429,40.29999569734894,673,991,864,2909,1911,1086,6.304696259569332
