lat,lon,APCP_2021,xy,time
40.270832,140.01875,2.0317607,"40.270832,140.01875",2021-04-19
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-20
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-21
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-22
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-23
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-24
40.270832,140.01875,0.64165324,"40.270832,140.01875",2021-04-25
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-26
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-27
40.270832,140.01875,0.0,"40.270832,140.01875",2021-04-28
40.270832,140.01875,12.519476,"40.270832,140.01875",2021-04-29
40.270832,140.01875,6.202309,"40.270832,140.01875",2021-04-30
40.270832,140.01875,2.3145235,"40.270832,140.01875",2021-05-01
40.270832,140.01875,12.988371,"40.270832,140.01875",2021-05-02
40.270832,140.01875,0.0,"40.270832,140.01875",2021-05-03
40.270832,140.01875,0.0,"40.270832,140.01875",2021-05-04
40.270832,140.01875,4.3782516,"40.270832,140.01875",2021-05-05
40.270832,140.01875,0.0,"40.270832,140.01875",2021-05-06
40.270832,140.01875,0.0,"40.270832,140.01875",2021-05-07
40.270832,140.01875,4.537325,"40.270832,140.01875",2021-05-08
40.270832,140.01875,2.4175372,"40.270832,140.01875",2021-05-09
40.270832,140.01875,0.0,"40.270832,140.01875",2021-05-10
40.270832,140.01875,2.1022544,"40.270832,140.01875",2021-05-11
40.270832,140.01875,0.0,"40.270832,140.01875",2021-05-12
40.270832,140.01875,0.0,"40.270832,140.01875",2021-05-13
40.270832,140.01875,1.2486794,"40.270832,140.01875",2021-05-14
40.270832,140.01875,0.0,"40.270832,140.01875",2021-05-15
40.270832,140.01875,37.92621,"40.270832,140.01875",2021-05-16
40.270832,140.01875,60.505486,"40.270832,140.01875",2021-05-17
40.270832,140.01875,2.0858383,"40.270832,140.01875",2021-05-18
40.270832,140.01875,1.1593499,"40.270832,140.01875",2021-05-19
40.270832,140.01875,0.0,"40.270832,140.01875",2021-05-20
40.270832,140.01875,18.941515,"40.270832,140.01875",2021-05-21
40.270832,140.01875,0.5501408,"40.270832,140.01875",2021-05-22
40.270832,140.01875,5.601384,"40.270832,140.01875",2021-05-23
40.270832,140.01875,0.7833429,"40.270832,140.01875",2021-05-24
40.270832,140.01875,9.731027,"40.270832,140.01875",2021-05-25
40.270832,140.01875,5.4465203,"40.270832,140.01875",2021-05-26
40.270832,140.01875,8.787916,"40.270832,140.01875",2021-05-27
40.270832,140.01875,12.314665,"40.270832,140.01875",2021-05-28
40.270832,140.01875,1.0756406,"40.270832,140.01875",2021-05-29
40.270832,140.01875,1.7755836,"40.270832,140.01875",2021-05-30
40.270832,140.01875,0.0,"40.270832,140.01875",2021-05-31
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-01
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-02
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-03
40.270832,140.01875,45.662987,"40.270832,140.01875",2021-06-04
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-05
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-06
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-07
40.270832,140.01875,2.3099282,"40.270832,140.01875",2021-06-08
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-09
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-10
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-11
40.270832,140.01875,3.3286166,"40.270832,140.01875",2021-06-12
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-13
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-14
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-15
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-16
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-17
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-18
40.270832,140.01875,22.606659,"40.270832,140.01875",2021-06-19
40.270832,140.01875,0.81625026,"40.270832,140.01875",2021-06-20
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-21
40.270832,140.01875,0.67811024,"40.270832,140.01875",2021-06-22
40.270832,140.01875,7.0121226,"40.270832,140.01875",2021-06-23
40.270832,140.01875,0.9491255,"40.270832,140.01875",2021-06-24
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-25
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-26
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-27
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-28
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-29
40.270832,140.01875,0.0,"40.270832,140.01875",2021-06-30
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-01
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-02
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-03
40.270832,140.01875,14.910532,"40.270832,140.01875",2021-07-04
40.270832,140.01875,10.575745,"40.270832,140.01875",2021-07-05
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-06
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-07
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-08
40.270832,140.01875,20.459871,"40.270832,140.01875",2021-07-09
40.270832,140.01875,17.89917,"40.270832,140.01875",2021-07-10
40.270832,140.01875,6.7561483,"40.270832,140.01875",2021-07-11
40.270832,140.01875,1.5254853,"40.270832,140.01875",2021-07-12
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-13
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-14
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-15
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-16
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-17
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-18
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-19
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-20
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-21
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-22
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-23
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-24
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-25
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-26
40.270832,140.01875,0.7874972,"40.270832,140.01875",2021-07-27
40.270832,140.01875,13.5044775,"40.270832,140.01875",2021-07-28
40.270832,140.01875,13.013478,"40.270832,140.01875",2021-07-29
40.270832,140.01875,0.5574175,"40.270832,140.01875",2021-07-30
40.270832,140.01875,0.0,"40.270832,140.01875",2021-07-31
40.270832,140.01875,2.838307,"40.270832,140.01875",2021-08-01
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-02
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-03
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-04
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-05
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-06
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-07
40.270832,140.01875,6.623797,"40.270832,140.01875",2021-08-08
40.270832,140.01875,0.5688039,"40.270832,140.01875",2021-08-09
40.270832,140.01875,25.01208,"40.270832,140.01875",2021-08-10
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-11
40.270832,140.01875,2.2332532,"40.270832,140.01875",2021-08-12
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-13
40.270832,140.01875,1.6031324,"40.270832,140.01875",2021-08-14
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-15
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-16
40.270832,140.01875,8.650813,"40.270832,140.01875",2021-08-17
40.270832,140.01875,10.301383,"40.270832,140.01875",2021-08-18
40.270832,140.01875,0.60397726,"40.270832,140.01875",2021-08-19
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-20
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-21
40.270832,140.01875,10.662613,"40.270832,140.01875",2021-08-22
40.270832,140.01875,2.6341426,"40.270832,140.01875",2021-08-23
40.270832,140.01875,13.543664,"40.270832,140.01875",2021-08-24
40.270832,140.01875,52.06585,"40.270832,140.01875",2021-08-25
40.270832,140.01875,3.0315914,"40.270832,140.01875",2021-08-26
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-27
40.270832,140.01875,8.75789,"40.270832,140.01875",2021-08-28
40.270832,140.01875,0.0,"40.270832,140.01875",2021-08-29
40.270832,140.01875,7.485885,"40.270832,140.01875",2021-08-30
40.270832,140.01875,0.6619725,"40.270832,140.01875",2021-08-31
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-01
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-02
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-03
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-04
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-05
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-06
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-07
40.270832,140.01875,6.8260427,"40.270832,140.01875",2021-09-08
40.270832,140.01875,20.375256,"40.270832,140.01875",2021-09-09
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-10
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-11
40.270832,140.01875,8.812573,"40.270832,140.01875",2021-09-12
40.270832,140.01875,0.9198393,"40.270832,140.01875",2021-09-13
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-14
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-15
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-16
40.270832,140.01875,5.956586,"40.270832,140.01875",2021-09-17
40.270832,140.01875,13.349874,"40.270832,140.01875",2021-09-18
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-19
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-20
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-21
40.270832,140.01875,7.1720753,"40.270832,140.01875",2021-09-22
40.270832,140.01875,5.805028,"40.270832,140.01875",2021-09-23
40.270832,140.01875,1.1057833,"40.270832,140.01875",2021-09-24
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-25
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-26
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-27
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-28
40.270832,140.01875,0.0,"40.270832,140.01875",2021-09-29
40.270832,140.01875,10.132948,"40.270832,140.01875",2021-09-30
40.270832,140.01875,0.92810625,"40.270832,140.01875",2021-10-01
40.270832,140.01875,0.0,"40.270832,140.01875",2021-10-02
40.270832,140.01875,0.0,"40.270832,140.01875",2021-10-03
40.270832,140.01875,0.0,"40.270832,140.01875",2021-10-04
40.270832,140.01875,15.099579,"40.270832,140.01875",2021-10-05
40.270832,140.01875,1.0339404,"40.270832,140.01875",2021-10-06
40.270832,140.01875,0.0,"40.270832,140.01875",2021-10-07
40.270832,140.01875,21.81439,"40.270832,140.01875",2021-10-08
40.270832,140.01875,0.0,"40.270832,140.01875",2021-10-09
40.270832,140.01875,0.0,"40.270832,140.01875",2021-10-10
40.270832,140.01875,23.378134,"40.270832,140.01875",2021-10-11
40.270832,140.01875,0.0,"40.270832,140.01875",2021-10-12
40.270832,140.01875,0.0,"40.270832,140.01875",2021-10-13
40.270832,140.01875,0.0,"40.270832,140.01875",2021-10-14
40.270832,140.01875,5.7036557,"40.270832,140.01875",2021-10-15
40.270832,140.01875,9.297278,"40.270832,140.01875",2021-10-16
40.270832,140.01875,7.8797536,"40.270832,140.01875",2021-10-17
40.270832,140.01875,6.1885796,"40.270832,140.01875",2021-10-18
40.270832,140.01875,4.563746,"40.270832,140.01875",2021-10-19
40.270832,140.01875,22.147818,"40.270832,140.01875",2021-10-20
40.270832,140.01875,4.59836,"40.270832,140.01875",2021-10-21
40.270832,140.01875,3.7546952,"40.270832,140.01875",2021-10-22
