lat,lon,APCP_mean,xy,time,APCP_2021
40.270832,140.01875,3.1824632,"40.270832,140.01875",2021/1/11,17.89917
40.270832,140.01875,3.0909927,"40.270832,140.01875",2021/1/12,6.7561483
40.270832,140.01875,2.9943264,"40.270832,140.01875",2021/1/13,1.5254853
40.270832,140.01875,2.9707623,"40.270832,140.01875",2021/1/14,0
40.270832,140.01875,2.8855515,"40.270832,140.01875",2021/1/15,0
40.270832,140.01875,2.8838055,"40.270832,140.01875",2021/1/16,0
40.270832,140.01875,2.8832679,"40.270832,140.01875",2021/1/17,0
40.270832,140.01875,2.8870754,"40.270832,140.01875",2021/1/18,0
40.270832,140.01875,2.8912275,"40.270832,140.01875",2021/1/19,0
40.270832,140.01875,2.8304574,"40.270832,140.01875",2021/1/20,0
40.270832,140.01875,2.836449,"40.270832,140.01875",2021/1/21,0
40.270832,140.01875,2.8400204,"40.270832,140.01875",2021/1/22,0
