,id,longitude,latitude,time,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,AOT,WVP,SCL,TCI_R,TCI_G,TCI_B,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60
1,20211108T012849_20211108T013450_T54TVK,140.0572791781229,40.28705995725762,2021-11-08,78,321,571,565,1090,1769,2035,2186,2327,2325,2014,1228,96,717,4,58,59,34,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06033345008893,40.29577361551358,2021-11-08,129,275,565,423,974,1756,1848,2052,2141,1897,1733,1039,96,769,4,44,58,27,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.07335902170865,40.27160893437077,2021-11-08,1,229,397,356,761,1241,1337,1506,1480,1659,1096,662,96,840,4,38,42,25,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0660826679073,40.28211922319496,2021-11-08,19,288,604,652,1288,1951,2166,2558,2386,1476,1331,844,96,1011,4,66,61,33,2,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.08593543568634,40.28759894642809,2021-11-08,222,430,578,698,910,1161,1284,1600,1542,2053,1559,1112,96,765,7,71,59,43,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.0856659411011,40.28777860948492,2021-11-08,222,426,618,544,962,1527,1658,1920,1837,2053,1571,1023,96,765,7,56,63,45,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.08512695193062,40.2868802942008,2021-11-08,341,432,603,697,1211,1683,1819,1906,2016,2096,1970,1411,96,753,5,71,62,44,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.06437586886747,40.28310737000749,2021-11-08,52,205,398,318,620,1581,1881,2744,2134,1706,935,509,96,1035,4,34,42,21,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06033345008893,40.28481416904732,2021-11-08,84,350,584,649,1058,1635,1901,2276,2002,2137,1907,1258,96,837,5,66,60,35,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06033345008893,40.28562265280303,2021-11-08,109,381,594,680,1123,1531,1736,2018,1986,1949,1710,1076,96,725,5,70,61,39,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.07758110354402,40.2786157935869,2021-11-08,159,371,572,554,829,1288,1411,1742,1579,1615,1317,881,96,765,7,57,60,38,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.06213008065717,40.27277674424012,2021-11-08,186,360,674,583,1164,1843,2037,2640,2322,2221,1842,1126,96,783,4,60,69,37,0,0,0,0,2048
1,20211108T012849_20211108T013450_T54TVK,140.0676098038903,40.28831759865539,2021-11-08,51,246,436,417,851,1353,1531,1632,1807,1840,1502,918,96,777,4,44,45,25,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06374704816858,40.28113107638243,2021-11-08,70,268,404,466,718,1166,1305,1388,1392,2096,1150,702,96,765,2,48,42,29,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.06725047777664,40.283646359177965,2021-11-08,61,208,371,457,806,1350,1532,1534,1799,1744,1403,897,96,871,4,46,38,22,0,0,0,0,0
1,20211108T012849_20211108T013450_T54TVK,140.0609622707878,40.28445484293368,2021-11-08,84,280,471,572,968,1458,1682,2262,2037,2137,1881,1158,96,828,4,59,48,29,0,0,0,0,0
